sub_context,n_pos,n_neg,eligible,auc_unit,auc_anchor,auc_g,auc_h,auc_dense_probe,auc_rek_mean,auc_rek_anch_mean,unit_minus_g_diff,unit_minus_g_ci_lo,unit_minus_g_ci_hi,unit_minus_h_diff,unit_minus_h_ci_lo,unit_minus_h_ci_hi,unit_minus_rek_mean_diff,unit_minus_rek_mean_ci_lo,unit_minus_rek_mean_ci_hi,unit_minus_rek_anch_mean_diff,unit_minus_rek_anch_mean_ci_lo,unit_minus_rek_anch_mean_ci_hi,unit_minus_dense_probe_diff,unit_minus_dense_probe_ci_lo,unit_minus_dense_probe_ci_hi,rek_anch_p95,unit_above_rek_anch_95th,selection_established
Canada,150,2100,True,0.9990476190476191,0.9998952380952381,0.4344698412698413,0.579247619047619,0.9999777777777777,0.8122444444444444,0.9998952380952381,0.5645777777777778,0.5261596031746032,0.6042574603174603,0.41980000000000006,0.3914284126984126,0.4493480158730158,0.18680317460317464,0.16465992063492058,0.21010833333333329,-0.000847619047618986,-0.001895238095238061,-0.0001777777777777212,-0.00093015873015867,-0.0020000000000000018,-0.000200000000000089,0.9998922222222222,False,False
France,150,2100,True,0.9993269841269842,0.9998857142857143,0.4808952380952381,0.6560603174603175,0.9999746031746032,0.8870476190476191,0.9998857142857143,0.518431746031746,0.48050873015873014,0.5557379365079366,0.3432666666666667,0.3162780952380952,0.37014920634920634,0.11227936507936509,0.0979968253968253,0.12717793650793657,-0.0005587301587300919,-0.0012444444444443842,-0.0001047619047619408,-0.000647619047619008,-0.0013810317460317355,-0.00013325396825395578,0.9998857142857143,False,False
Iran,150,2100,True,0.9997936507936508,1.0,0.6847238095238095,0.7731714285714286,1.0,0.964368253968254,1.0,0.3150698412698413,0.274618492063492,0.3571346825396825,0.22662222222222217,0.19845031746031747,0.25482777777777776,0.035425396825396804,0.028209523809523795,0.04289261904761908,-0.00020634920634921006,-0.0006952380952380821,0.0,-0.00020634920634921006,-0.0006952380952380821,0.0,1.0,False,False
United States,150,2100,True,0.9708698412698412,0.869220634920635,0.6090095238095238,0.7323412698412698,0.9997492063492064,0.9784063492063492,0.9812761904761905,0.36186031746031744,0.3207095238095238,0.4039372222222222,0.23852857142857142,0.1994378174603174,0.2783796428571429,-0.007536507936507952,-0.020352460317460373,0.0030097619047618866,-0.010406349206349308,-0.022336587301587243,-0.001006031746031776,-0.02887936507936517,-0.04134130952380953,-0.019015793650793568,0.965519126984127,True,False
Brazil,150,2100,True,0.9998603174603174,1.0,0.5193968253968254,0.6786412698412698,0.9999873015873015,0.9081936507936508,1.0,0.48046349206349204,0.4428203968253968,0.5167971428571428,0.3212190476190476,0.2983902380952381,0.3443525396825397,0.09166666666666667,0.07933650793650804,0.10447960317460316,-0.00013968253968255073,-0.0004698412698412868,0.0,-0.00012698412698408656,-0.0004603174603173832,3.492063492060993e-05,1.0,False,False
Georgia,150,2100,True,0.9885174603174604,0.5825968253968254,0.418,0.3825079365079365,0.9997809523809523,0.9060412698412699,0.8898920634920635,0.5705174603174603,0.5286565873015874,0.6124394444444444,0.6060095238095238,0.5698221428571428,0.6419030555555556,0.08247619047619048,0.07019992063492067,0.094991746031746,0.09862539682539684,0.08488531746031741,0.1131588095238095,-0.011263492063491976,-0.015336507936507981,-0.007583968253968298,0.7203219047619047,True,True
New Zealand,150,2100,True,0.9973269841269842,0.9998222222222222,0.5604380952380953,0.6337746031746032,0.9998412698412699,0.9800571428571428,0.9998539682539682,0.4368888888888889,0.398811746031746,0.47482253968253973,0.36355238095238096,0.32888523809523806,0.39891809523809524,0.017269841269841324,0.01196476190476194,0.02286071428571429,-0.0025269841269840443,-0.004314365079365079,-0.0010952380952381463,-0.002514285714285691,-0.004342936507936565,-0.0010189682539682233,0.9998222222222222,False,False
Spain,150,2100,True,0.9960126984126985,0.996547619047619,0.49022539682539684,0.6593015873015873,0.9999809523809524,0.8179746031746031,0.9983142857142857,0.5057873015873016,0.46803476190476184,0.5424038095238095,0.3367111111111112,0.31250452380952376,0.36160063492063493,0.17803809523809533,0.15563119047619045,0.2009937301587302,-0.002301587301587249,-0.00684460317460327,0.0,-0.003968253968253954,-0.01182698412698413,1.2698412698353145e-05,0.9993726984126985,False,False
Mexico,150,2100,True,0.969936507936508,0.9689873015873016,0.49035555555555554,0.642652380952381,0.9998920634920635,0.9065777777777778,0.9856253968253968,0.47958095238095244,0.4409886904761905,0.5177084126984127,0.327284126984127,0.2954915079365079,0.36035293650793654,0.06335873015873017,0.04190396825396824,0.08342555555555557,-0.015688888888888863,-0.03132551587301586,-0.00134277777777773,-0.029955555555555513,-0.04765738095238105,-0.015246825396825425,0.9779762698412698,False,False
China,150,2100,True,0.9996825396825397,0.999984126984127,0.5277619047619048,0.6393904761904762,0.9999936507936508,0.8180349206349207,0.9999873015873015,0.47192063492063496,0.4283328571428571,0.5149111904761905,0.36029206349206355,0.3355309523809524,0.3853477777777778,0.18164761904761906,0.16059047619047628,0.20356515873015876,-0.00030476190476180776,-0.000806349206349255,-1.904761904758523e-05,-0.00031111111111103984,-0.0008159523809524115,-1.2698412698464168e-05,0.999984126984127,False,False
Japan,150,2100,True,0.9998920634920635,1.0,0.5516888888888889,0.6876761904761904,1.0,0.8559555555555556,1.0,0.4482031746031746,0.4099731746031746,0.4870001587301587,0.31221587301587306,0.29066285714285717,0.3344960317460317,0.14393650793650792,0.12725055555555562,0.16097777777777778,-0.00010793650793650134,-0.0003714285714285781,0.0,-0.00010793650793650134,-0.0003714285714285781,0.0,1.0,False,False
India,150,2100,True,0.9992285714285715,0.9999333333333333,0.49453968253968256,0.6360730158730159,0.9999968253968254,0.858152380952381,0.9999333333333333,0.504688888888889,0.4650946031746032,0.5442200793650793,0.36315555555555556,0.3348856349206349,0.3914546031746032,0.14107619047619047,0.1234983333333334,0.15932111111111105,-0.0007047619047618747,-0.0015174603174603618,-0.00018412698412695327,-0.0007682539682539735,-0.0016096031746032024,-0.0002157936507936398,0.9999333333333333,False,False
Italy,150,2100,True,0.9997714285714285,0.9999809523809524,0.5108031746031746,0.6727238095238095,0.9999809523809524,0.8344253968253968,0.9999809523809524,0.48896825396825394,0.4524440476190476,0.5267628571428571,0.32704761904761903,0.3026634920634921,0.3520543650793651,0.16534603174603169,0.1463455555555556,0.18518555555555555,-0.0002095238095238816,-0.0006253968253968623,0.0,-0.0002095238095238816,-0.0006349206349206549,2.5396825396817313e-05,0.9999809523809524,False,False
Ireland,150,2100,True,0.9991460317460318,0.9998857142857143,0.5332793650793651,0.6676063492063492,0.9999904761904762,0.9047873015873016,0.9998952380952381,0.46586666666666665,0.4280252380952381,0.5038926984126983,0.3315396825396826,0.3028538888888889,0.3600043650793651,0.0943587301587302,0.08130468253968251,0.10779682539682534,-0.0007492063492062773,-0.0014285714285714457,-0.00026341269841260567,-0.0008444444444444255,-0.0015809523809523496,-0.000304761904761916,0.9998857142857143,False,False
Australia,150,2100,True,0.9979428571428571,0.9995206349206349,0.49266984126984126,0.5777523809523809,0.9999523809523809,0.7970730158730158,0.9995238095238095,0.5052730158730159,0.4680761111111112,0.5423530158730159,0.4201904761904762,0.39094388888888887,0.4484953174603175,0.2008698412698413,0.17624730158730165,0.22697222222222224,-0.0015809523809523496,-0.0027682539682539753,-0.00068888888888885,-0.0020095238095237944,-0.0033650793650793487,-0.0009492063492063663,0.9994920634920635,False,False
Poland,150,2100,True,0.9996507936507937,0.9999587301587302,0.6037238095238096,0.7577015873015873,0.9999714285714286,0.9555142857142858,0.9999587301587302,0.3959269841269841,0.36120555555555556,0.43096976190476194,0.24194920634920636,0.2187134920634921,0.2665353174603175,0.04413650793650792,0.03595555555555552,0.05279698412698412,-0.0003079365079364793,-0.0006253968253968623,-8.571428571435558e-05,-0.0003206349206349435,-0.000688888888888961,-7.301587301578039e-05,0.9999587301587302,False,False
Germany,150,2100,True,0.999552380952381,1.0,0.4352412698412698,0.5852380952380952,0.9999746031746032,0.7934412698412698,1.0,0.5643111111111112,0.5268126984126984,0.6022388095238095,0.41431428571428575,0.3885362698412699,0.44098190476190474,0.20611111111111113,0.18298087301587299,0.23078182539682532,-0.00044761904761903004,-0.0013396825396825296,-6.349206349232084e-06,-0.00042222222222221273,-0.0013175396825396396,3.492063492060993e-05,1.0,False,False
United Kingdom,150,2100,True,0.9964190476190476,0.9995142857142857,0.5897269841269841,0.6529333333333334,0.9998253968253968,0.9822920634920634,0.9996285714285714,0.40669206349206355,0.3704313492063492,0.44417142857142855,0.3434857142857143,0.3125098412698412,0.3748732539682539,0.01412698412698421,0.009190476190476193,0.019441349206349177,-0.0032095238095237733,-0.005146111111111152,-0.0015935714285713399,-0.0034063492063491907,-0.005450793650793706,-0.0016698412698412657,0.9995015873015873,False,False
Israel,150,2100,True,0.9986539682539682,0.9996571428571429,0.5130539682539682,0.6576603174603175,0.9999587301587302,0.9696253968253968,0.9996793650793651,0.48560000000000003,0.44888428571428574,0.5239911111111111,0.34099365079365074,0.31642738095238093,0.366590634920635,0.029028571428571404,0.02252055555555558,0.03588261904761899,-0.0010253968253968182,-0.001901587301587293,-0.0003492063492063213,-0.0013047619047619197,-0.0024286507936508105,-0.00043174603174600534,0.9996253968253969,False,False
Russia,150,2100,True,0.9996857142857143,1.0,0.5020412698412698,0.6574380952380953,0.9999968253968254,0.9160095238095238,1.0,0.49764444444444444,0.45572317460317463,0.5394328571428572,0.342247619047619,0.31339976190476193,0.3719273015873016,0.08367619047619046,0.07184746031746032,0.0958194444444444,-0.0003142857142857114,-0.0010095238095237935,0.0,-0.00031111111111115086,-0.0010095238095237935,1.2698412698464168e-05,1.0,False,False
Jordan,124,2100,False,0.9869585253456221,0.629531490015361,0.44483486943164363,0.5093029953917051,0.9996390168970815,0.7864900153609831,0.8067780337941628,0.5421236559139785,0.4849621255760368,0.5971476574500767,0.477655529953917,0.4239653897849462,0.5301778513824885,0.20046850998463905,0.17764199308755765,0.22448550307219653,0.18018049155145932,0.1531176075268818,0.2088213325652842,-0.012680491551459339,-0.017154665898617437,-0.008605894777265675,0.7071288402457757,True,True
